LotArea	OverallQual	YearBuilt	RoofStyle	CentralAir	SalePrice
8450	7	2003	Gable	Y	208500
9600	6	1976	Gable	Y	181500
11250	7	2001	Gable	Y	223500
9550	7	1915	Gable	Y	140000
14260	8	2000	Gable	Y	250000
14115	5	1993	Gable	Y	143000
10084	8	2004	Gable	Y	307000
10382	7	1973	Gable	Y	200000
6120	7	1931	Gable	Y	129900
7420	5	1939	Gable	Y	118000
11200	5	1965	Hip	Y	129500
11924	9	2005	Hip	Y	345000
12968	5	1962	Hip	Y	144000
10652	7	2006	Gable	Y	279500
10920	6	1960	Hip	Y	157000
6120	7	1929	Gable	Y	132000
11241	6	1970	Gable	Y	149000
10791	4	1967	Gable	Y	90000
13695	5	2004	Gable	Y	159000
7560	5	1958	Hip	Y	139000
14215	8	2005	Gable	Y	325300
7449	7	1930	Gable	Y	139400
9742	8	2002	Hip	Y	230000
4224	5	1976	Gable	Y	129900
8246	5	1968	Gable	Y	154000
14230	8	2007	Gable	Y	256300
7200	5	1951	Gable	Y	134800
11478	8	2007	Gable	Y	306000
16321	5	1957	Gable	Y	207500
6324	4	1927	Gable	N	68500
8500	4	1920	Gambrel	N	40000
8544	5	1966	Gable	Y	149350
11049	8	2007	Gable	Y	179900
10552	5	1959	Hip	Y	165500
7313	9	2005	Hip	Y	277500
13418	8	2004	Gable	Y	309000
10859	5	1994	Gable	Y	145000
8532	5	1954	Hip	Y	153000
7922	5	1953	Gable	Y	109000
6040	4	1955	Gable	N	82000
8658	6	1965	Gable	Y	160000
16905	5	1959	Gable	Y	170000
9180	5	1983	Gable	Y	144000
9200	5	1975	Hip	Y	130250
7945	5	1959	Gable	Y	141000
7658	9	2005	Hip	Y	319900
12822	7	2003	Gable	Y	239686
11096	8	2006	Gable	Y	249700
4456	4	1920	Gable	Y	113000
7742	5	1966	Gable	Y	127000
13869	6	1997	Gable	Y	177000
6240	6	1934	Gable	Y	114500
8472	5	1963	Gable	N	110000
50271	9	1981	Gable	Y	385000
