Id,LotArea,Utilities,HouseStyle,OverallQual,OverallCond,YearRemodAdd,HeatingQC,KitchenQual,Functional,GarageType,SaleType,SalePrice
1,8450,AllPub,2Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,208500
2,9600,AllPub,1Story,6,8,1976,Ex,TA,Typ,Attchd,WD,181500
3,11250,AllPub,2Story,7,5,2002,Ex,Gd,Typ,Attchd,WD,223500
4,9550,AllPub,2Story,7,5,1970,Gd,Gd,Typ,Detchd,WD,140000
5,14260,AllPub,2Story,8,5,2000,Ex,Gd,Typ,Attchd,WD,250000
6,14115,AllPub,1.5Fin,5,5,1995,Ex,TA,Typ,Attchd,WD,143000
7,10084,AllPub,1Story,8,5,2005,Ex,Gd,Typ,Attchd,WD,307000
8,10382,AllPub,2Story,7,6,1973,Ex,TA,Typ,Attchd,WD,200000
9,6120,AllPub,1.5Fin,7,5,1950,Gd,TA,Min1,Detchd,WD,129900
10,7420,AllPub,1.5Unf,5,6,1950,Ex,TA,Typ,Attchd,WD,118000
11,11200,AllPub,1Story,5,5,1965,Ex,TA,Typ,Detchd,WD,129500
12,11924,AllPub,2Story,9,5,2006,Ex,Ex,Typ,BuiltIn,New,345000
13,12968,AllPub,1Story,5,6,1962,TA,TA,Typ,Detchd,WD,144000
14,10652,AllPub,1Story,7,5,2007,Ex,Gd,Typ,Attchd,New,279500
15,10920,AllPub,1Story,6,5,1960,TA,TA,Typ,Attchd,WD,157000
16,6120,AllPub,1.5Unf,7,8,2001,Ex,TA,Typ,Detchd,WD,132000
17,11241,AllPub,1Story,6,7,1970,Ex,TA,Typ,Attchd,WD,149000
18,10791,AllPub,1Story,4,5,1967,TA,TA,Typ,CarPort,WD,90000
19,13695,AllPub,1Story,5,5,2004,Ex,Gd,Typ,Detchd,WD,159000
20,7560,AllPub,1Story,5,6,1965,TA,TA,Min1,Attchd,COD,139000
21,14215,AllPub,2Story,8,5,2006,Ex,Gd,Typ,BuiltIn,New,325300
22,7449,AllPub,1.5Unf,7,7,1950,Ex,Gd,Typ,Attchd,WD,139400
23,9742,AllPub,1Story,8,5,2002,Ex,Gd,Typ,Attchd,WD,230000
24,4224,AllPub,1Story,5,7,1976,TA,TA,Typ,Attchd,WD,129900
25,8246,AllPub,1Story,5,8,2001,Ex,Gd,Typ,Attchd,WD,154000
26,14230,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,256300
27,7200,AllPub,1Story,5,7,2000,TA,Gd,Typ,Detchd,WD,134800
28,11478,AllPub,1Story,8,5,2008,Ex,Gd,Typ,Attchd,WD,306000
29,16321,AllPub,1Story,5,6,1997,TA,TA,Typ,Attchd,WD,207500
30,6324,AllPub,1Story,4,6,1950,Fa,Fa,Typ,Detchd,WD,68500
31,8500,AllPub,2Story,4,4,1950,TA,TA,Typ,Detchd,WD,40000
32,8544,AllPub,1Story,5,6,2006,Gd,Gd,Typ,Attchd,WD,149350
33,11049,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,179900
34,10552,AllPub,1Story,5,5,1959,Gd,Gd,Typ,Attchd,WD,165500
35,7313,AllPub,1Story,9,5,2005,Ex,Ex,Typ,Attchd,WD,277500
36,13418,AllPub,2Story,8,5,2005,Ex,Gd,Typ,BuiltIn,WD,309000
37,10859,AllPub,1Story,5,5,1995,Ex,TA,Typ,Attchd,WD,145000
38,8532,AllPub,1Story,5,6,1990,Gd,TA,Typ,Attchd,WD,153000
39,7922,AllPub,1Story,5,7,2007,TA,Gd,Typ,Detchd,WD,109000
40,6040,AllPub,1Story,4,5,1955,TA,Fa,Typ,NA,WD,82000
41,8658,AllPub,1Story,6,5,1965,Ex,TA,Typ,Attchd,WD,160000
42,16905,AllPub,1Story,5,6,1959,Gd,TA,Typ,Attchd,WD,170000
43,9180,AllPub,SFoyer,5,7,1983,Gd,Gd,Typ,Attchd,WD,144000
44,9200,AllPub,1Story,5,6,1980,TA,TA,Typ,Detchd,WD,130250
45,7945,AllPub,1Story,5,6,1959,Ex,TA,Typ,Attchd,WD,141000
46,7658,AllPub,1Story,9,5,2005,Ex,Ex,Typ,Attchd,WD,319900
47,12822,AllPub,1.5Fin,7,5,2003,Ex,Gd,Typ,Attchd,WD,239686
48,11096,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,249700
49,4456,AllPub,2Story,4,5,2008,Gd,TA,Typ,NA,New,113000
50,7742,AllPub,1Story,5,7,1966,Ex,TA,Typ,Attchd,WD,127000
51,13869,AllPub,2Story,6,6,1997,Gd,TA,Typ,Attchd,WD,177000
52,6240,AllPub,1.5Fin,6,6,1950,TA,TA,Typ,Detchd,WD,114500
53,8472,AllPub,1Story,5,5,1963,TA,TA,Typ,CarPort,WD,110000
54,50271,AllPub,1Story,9,5,1987,Gd,Gd,Typ,Attchd,WD,385000
55,7134,AllPub,SLvl,5,5,1955,TA,TA,Min1,Detchd,WD,130000
56,10175,AllPub,1Story,6,5,1964,Gd,TA,Typ,Attchd,WD,180500
57,2645,AllPub,2Story,8,5,2000,Ex,Gd,Typ,Attchd,WD,172500
58,11645,AllPub,2Story,7,5,2004,Ex,Gd,Typ,Attchd,WD,196500
59,13682,AllPub,2Story,10,5,2006,Ex,Gd,Typ,BuiltIn,New,438780
60,7200,AllPub,1Story,5,7,1972,Ex,TA,Typ,Detchd,WD,124900
61,13072,AllPub,1Story,6,5,2004,Ex,Gd,Typ,Detchd,New,158000
62,7200,AllPub,2.5Unf,5,7,1996,TA,Fa,Typ,Detchd,WD,101000
63,6442,AllPub,1Story,8,5,2006,Ex,Gd,Typ,Attchd,WD,202500
64,10300,AllPub,2Story,7,6,1950,Gd,TA,Typ,Detchd,WD,140000
65,9375,AllPub,2Story,7,5,1998,Ex,Gd,Typ,Attchd,WD,219500
66,9591,AllPub,2Story,8,5,2005,Ex,Gd,Typ,BuiltIn,WD,317000
67,19900,AllPub,1Story,7,5,1989,TA,TA,Min1,Attchd,WD,180000
68,10665,AllPub,1Story,7,5,2003,Ex,Gd,Typ,Attchd,WD,226000
69,4608,AllPub,1Story,4,6,1950,TA,TA,Typ,Attchd,WD,80000
70,15593,AllPub,1.5Fin,7,4,1953,TA,TA,Typ,Attchd,WD,225000
71,13651,AllPub,1Story,7,6,1973,Ex,TA,Typ,Attchd,WD,244000
72,7599,AllPub,1Story,4,6,2006,TA,TA,Typ,Detchd,WD,129500
73,10141,AllPub,2Story,7,5,1998,Gd,TA,Typ,Attchd,WD,185000
74,10200,AllPub,1Story,5,7,2003,Gd,TA,Typ,Attchd,WD,144900
75,5790,AllPub,2Story,3,6,1950,Gd,TA,Typ,Detchd,WD,107400
76,1596,AllPub,SLvl,4,5,1973,TA,TA,Typ,BuiltIn,WD,91000
77,8475,AllPub,1Story,4,7,1956,Ex,TA,Typ,Detchd,WD,135750
78,8635,AllPub,1.5Fin,5,5,2001,TA,TA,Min1,Detchd,WD,127000
79,10778,AllPub,1Story,4,5,1968,TA,TA,Typ,NA,WD,136500
80,10440,AllPub,2Story,5,6,1981,Gd,TA,Typ,Detchd,WD,110000
81,13000,AllPub,2Story,6,6,1968,TA,Gd,Typ,Attchd,WD,193500
82,4500,AllPub,1Story,6,5,1998,Ex,TA,Typ,Attchd,WD,153500
83,10206,AllPub,1Story,8,5,2007,Ex,Gd,Typ,Attchd,WD,245000
84,8892,AllPub,1Story,5,5,1960,Gd,TA,Typ,Detchd,COD,126500
85,8530,AllPub,SLvl,7,5,1996,Gd,TA,Typ,BuiltIn,WD,168500
86,16059,AllPub,2Story,8,5,1992,Ex,Gd,Typ,Attchd,WD,260000
87,11911,AllPub,2Story,6,5,2005,Ex,Gd,Typ,BuiltIn,WD,174000
88,3951,AllPub,2Story,6,5,2009,Ex,Gd,Typ,Detchd,New,164500
89,8470,AllPub,1.5Fin,3,2,1982,TA,Fa,Typ,NA,ConLD,85000
90,8070,AllPub,1Story,4,5,1995,Ex,TA,Typ,NA,WD,123600
91,7200,AllPub,1Story,4,5,1950,TA,TA,Typ,Detchd,WD,109900
92,8500,AllPub,1Story,5,3,1961,TA,TA,Typ,Attchd,WD,98600
93,13360,AllPub,1Story,5,7,2006,Ex,TA,Typ,Detchd,WD,163500
94,7200,AllPub,2.5Unf,6,6,1998,Ex,TA,Typ,Detchd,WD,133900
95,9337,AllPub,2Story,6,5,1997,Ex,Gd,Typ,Attchd,WD,204750
96,9765,AllPub,2Story,6,8,1993,Gd,TA,Typ,BuiltIn,WD,185000
97,10264,AllPub,1Story,7,5,1999,Ex,Gd,Typ,Attchd,WD,214000
98,10921,AllPub,1Story,4,5,1965,TA,TA,Typ,Attchd,WD,94750
99,10625,AllPub,1Story,5,5,1950,Fa,TA,Typ,Basment,COD,83000
100,9320,AllPub,1Story,4,5,1959,Fa,TA,Typ,NA,WD,128950
101,10603,AllPub,1Story,6,7,2001,Gd,Gd,Typ,Attchd,WD,205000
102,9206,AllPub,2Story,6,5,1985,TA,Gd,Typ,Attchd,WD,178000
